epoch,step,gpu_memory_gb,timestamp
0,0,0.0,2026-01-12T10:20:25.146533
0,1,0.0,2026-01-12T10:20:25.147121
0,2,0.0,2026-01-12T10:20:25.147393
0,3,0.0,2026-01-12T10:20:25.147645
0,4,0.0,2026-01-12T10:20:25.148010
0,5,0.0,2026-01-12T10:20:25.148246
0,6,0.0,2026-01-12T10:20:25.148913
0,7,0.0,2026-01-12T10:20:25.149600
0,8,0.0,2026-01-12T10:20:25.150148
0,9,0.0,2026-01-12T10:20:25.150704
0,10,0.0,2026-01-12T10:20:25.151247
0,11,0.0,2026-01-12T10:20:25.151778
0,12,0.0,2026-01-12T10:20:25.152307
0,13,0.0,2026-01-12T10:20:25.152981
0,14,0.0,2026-01-12T10:20:25.153521
0,15,0.0,2026-01-12T10:20:25.154040
0,16,0.0,2026-01-12T10:20:25.154561
0,17,0.0,2026-01-12T10:20:25.155099
0,18,0.0,2026-01-12T10:20:25.155608
0,19,0.0,2026-01-12T10:20:25.156110
0,20,0.0,2026-01-12T10:20:25.156616
0,21,0.0,2026-01-12T10:20:25.157128
0,22,0.0,2026-01-12T10:20:25.157657
0,23,0.0,2026-01-12T10:20:25.158181
0,24,0.0,2026-01-12T10:20:25.158713
0,25,0.0,2026-01-12T10:20:25.159249
0,26,0.0,2026-01-12T10:20:25.159939
0,27,0.0,2026-01-12T10:20:25.160611
0,28,0.0,2026-01-12T10:20:25.161141
0,29,0.0,2026-01-12T10:20:25.161660
0,30,0.0,2026-01-12T10:20:25.162170
0,31,0.0,2026-01-12T10:20:25.162673
0,32,0.0,2026-01-12T10:20:25.163180
0,33,0.0,2026-01-12T10:20:25.163692
0,34,0.0,2026-01-12T10:20:25.164146
0,35,0.0,2026-01-12T10:20:25.164576
0,36,0.0,2026-01-12T10:20:25.165053
0,37,0.0,2026-01-12T10:20:25.165497
0,38,0.0,2026-01-12T10:20:25.165991
0,39,0.0,2026-01-12T10:20:25.166435
0,40,0.0,2026-01-12T10:20:25.166894
0,41,0.0,2026-01-12T10:20:25.167355
0,42,0.0,2026-01-12T10:20:25.167841
0,43,0.0,2026-01-12T10:20:25.168475
0,44,0.0,2026-01-12T10:20:25.168952
0,45,0.0,2026-01-12T10:20:25.169378
0,46,0.0,2026-01-12T10:20:25.169817
0,47,0.0,2026-01-12T10:20:25.170244
0,48,0.0,2026-01-12T10:20:25.170679
0,49,0.0,2026-01-12T10:20:25.171110
0,50,0.0,2026-01-12T10:20:25.171592
0,51,0.0,2026-01-12T10:20:25.172112
0,52,0.0,2026-01-12T10:20:25.172628
0,53,0.0,2026-01-12T10:20:25.173129
0,54,0.0,2026-01-12T10:20:25.173653
0,55,0.0,2026-01-12T10:20:25.174174
0,56,0.0,2026-01-12T10:20:25.174686
0,57,0.0,2026-01-12T10:20:25.175185
0,58,0.0,2026-01-12T10:20:25.175701
0,59,0.0,2026-01-12T10:20:25.176230
0,60,0.0,2026-01-12T10:20:25.176759
0,61,0.0,2026-01-12T10:20:25.177282
0,62,0.0,2026-01-12T10:20:25.177898
0,63,0.0,2026-01-12T10:20:25.178444
0,64,0.0,2026-01-12T10:20:25.179390
0,65,0.0,2026-01-12T10:20:25.180095
0,66,0.0,2026-01-12T10:20:25.180740
0,67,0.0,2026-01-12T10:20:25.181395
0,68,0.0,2026-01-12T10:20:25.182059
0,69,0.0,2026-01-12T10:20:25.182703
0,70,0.0,2026-01-12T10:20:25.183358
0,71,0.0,2026-01-12T10:20:25.184020
0,72,0.0,2026-01-12T10:20:25.184673
0,73,0.0,2026-01-12T10:20:25.185314
0,74,0.0,2026-01-12T10:20:25.185967
0,75,0.0,2026-01-12T10:20:25.186630
0,76,0.0,2026-01-12T10:20:25.187285
0,77,0.0,2026-01-12T10:20:25.187934
0,78,0.0,2026-01-12T10:20:25.188593
0,79,0.0,2026-01-12T10:20:25.189260
0,80,0.0,2026-01-12T10:20:25.189911
0,81,0.0,2026-01-12T10:20:25.190557
0,82,0.0,2026-01-12T10:20:25.191232
0,83,0.0,2026-01-12T10:20:25.191877
0,84,0.0,2026-01-12T10:20:25.192527
0,85,0.0,2026-01-12T10:20:25.193455
0,86,0.0,2026-01-12T10:20:25.194131
0,87,0.0,2026-01-12T10:20:25.194785
0,88,0.0,2026-01-12T10:20:25.195430
0,89,0.0,2026-01-12T10:20:25.196083
0,90,0.0,2026-01-12T10:20:25.196742
0,91,0.0,2026-01-12T10:20:25.197410
0,92,0.0,2026-01-12T10:20:25.198071
0,93,0.0,2026-01-12T10:20:25.198971
0,94,0.0,2026-01-12T10:20:25.199873
0,95,0.0,2026-01-12T10:20:25.200798
0,96,0.0,2026-01-12T10:20:25.202271
